Inexperienced School Leaders,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Principals,Number of Inexperienced Principals,Percent of Inexperienced Assistant Principals,Number of Inexperienced Assistant Principals
2023 - 2024,SCH,Arlington County Public Schools,Barcroft Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Barrett Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Barrett Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Campbell Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Campbell Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Cardinal Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Cardinal Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Cardinal Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Cardinal Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Carlin Springs Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Carlin Springs Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Claremont Immersion,All Schools,All Schools,100,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Claremont Immersion,All Schools,Non-Title I,100,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Claremont Immersion,Low Poverty,All Schools,100,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Claremont Immersion,Low Poverty,Non-Title I,100,1,0,0
2023 - 2024,SCH,Arlington County Public Schools,Discovery Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Discovery Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Discovery Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Discovery Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Dorothy Hamm Middle,All Schools,All Schools,0,0,33.3,1
2023 - 2024,SCH,Arlington County Public Schools,Dorothy Hamm Middle,All Schools,Non-Title I,0,0,33.3,1
2023 - 2024,SCH,Arlington County Public Schools,Dorothy Hamm Middle,Low Poverty,All Schools,0,0,33.3,1
2023 - 2024,SCH,Arlington County Public Schools,Dorothy Hamm Middle,Low Poverty,Non-Title I,0,0,33.3,1
