Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,Buena Vista City Public Schools,Parry McCluer High,305.76,356,10917,11273,433,5520,5953,17226,44270,5266898,789,16437
2023 - 2024,SCH,Buena Vista City Public Schools,Parry McCluer Middle,114.84,592,12654,13246,433,5520,5953,19199,7856,2204800,1025,18174
2023 - 2024,SCH,Campbell County Public Schools,Altavista Elementary,517.2,804,7499,8303,318,3963,4281,12584,5195,6508682,1122,11462
2023 - 2024,SCH,Campbell County Public Schools,Altavista High,625.15,525,8634,9160,318,3963,4281,13441,4546,8402540,843,12597
2023 - 2024,SCH,Campbell County Public Schools,Brookneal Elementary,418.5,1093,7566,8660,318,3963,4281,12941,5195,5415737,1411,11529
2023 - 2024,SCH,Campbell County Public Schools,Brookville High,1006.91,419,6240,6659,318,3963,4281,10940,4546,11015430,737,10203
2023 - 2024,SCH,Campbell County Public Schools,Brookville Middle,674.61,400,7596,7996,318,3963,4281,12277,4546,8282520,718,11559
2023 - 2024,SCH,Campbell County Public Schools,Concord Elementary,413.7,1104,7958,9063,318,3963,4281,13344,5195,5520287,1422,11921
2023 - 2024,SCH,Campbell County Public Schools,Leesville Road Elementary,632.9,625,7657,8282,318,3963,4281,12563,5195,7951049,943,11620
2023 - 2024,SCH,Campbell County Public Schools,Rustburg Elementary,442.38,1367,8889,10257,318,3963,4281,14538,5195,6431156,1685,12852
2023 - 2024,SCH,Campbell County Public Schools,Rustburg High,832.49,242,7469,7711,318,3963,4281,11992,4546,9983352,560,11432
2023 - 2024,SCH,Campbell County Public Schools,Rustburg Middle,625.84,472,8113,8585,318,3963,4281,12866,4546,8051824,790,12076
2023 - 2024,SCH,Campbell County Public Schools,Tomahawk Elementary,677.47,432,7050,7481,318,3963,4281,11763,5195,7968766,750,11013
2023 - 2024,SCH,Campbell County Public Schools,William Campbell High,398.95,264,10965,11228,318,3963,4281,15510,4546,6187531,582,14928
2023 - 2024,SCH,Campbell County Public Schools,Yellow Branch Elementary,563.08,761,8146,8906,318,3963,4281,13187,5195,7425613,1079,12109
2023 - 2024,SCH,Caroline County Public Schools,Bowling Green Elementary,808.71,1501,7104,8605,395,3809,4204,12808,0,10358087,1896,10913
2023 - 2024,SCH,Caroline County Public Schools,Caroline High,1255.21,308,8148,8455,395,3809,4204,12659,170895,15889839,703,11957
2023 - 2024,SCH,Caroline County Public Schools,Caroline Middle,980.33,694,7085,7779,395,3809,4204,11982,32500,11746587,1089,10894
2023 - 2024,SCH,Caroline County Public Schools,Lewis and Clark Elementary,998.08,612,7394,8006,395,3809,4204,12210,5475,12186528,1007,11203
2023 - 2024,SCH,Caroline County Public Schools,Madison Elementary,490.57,1157,9843,11000,395,3809,4204,15204,311967,7458579,1552,13652
2023 - 2024,SCH,Carroll County Public Schools,Carroll County High,1030.61,176,9003,9179,335,4437,4772,13951,13985,14378190,511,13440
2023 - 2024,SCH,Carroll County Public Schools,Carroll County Middle,723.15,552,8893,9444,335,4437,4772,14216,0,10280582,887,13330
2023 - 2024,SCH,Carroll County Public Schools,Fancy Gap Elementary,130.39,1275,8835,10110,335,4437,4772,14882,0,1940437,1610,13272
2023 - 2024,SCH,Carroll County Public Schools,Gladesboro Elementary,94.29,759,10531,11289,335,4437,4772,16061,0,1514430,1094,14968
2023 - 2024,SCH,Carroll County Public Schools,Gladeville Elementary,261.97,1078,7557,8635,335,4437,4772,13407,1300,3512246,1413,11994
2023 - 2024,SCH,Carroll County Public Schools,Hillsville Elementary,474.58,1002,8787,9789,335,4437,4772,14561,0,6910396,1337,13224
2023 - 2024,SCH,Carroll County Public Schools,Laurel Elementary,216.05,719,8468,9187,335,4437,4772,13959,0,3015861,1054,12905
2023 - 2024,SCH,Carroll County Public Schools,Oakland Elementary,188.49,899,9532,10431,335,4437,4772,15203,0,2865542,1234,13969
2023 - 2024,SCH,Carroll County Public Schools,St. Paul,301.26,1416,8390,9806,335,4437,4772,14578,0,4391702,1751,12827
2023 - 2024,SCH,Charles City County Public Schools,Charles City County Elementary,313.11,1713,9571,11284,535,9065,9600,20884,0,6538951,2248,18636
2023 - 2024,SCH,Charles City County Public Schools,Charles City County High,203.94,2969,15296,18265,535,9065,9600,27865,259956,5682745,3504,24361
2023 - 2024,SCH,Charlotte County Public Schools,Bacon District Elementary,161.13,2484,8563,11047,1067,5311,6378,17425,0,2807748,3551,13874
2023 - 2024,SCH,Charlotte County Public Schools,Central Middle,375.35,664,7064,7729,1067,5311,6378,14107,0,5294939,1731,12375
2023 - 2024,SCH,Charlotte County Public Schools,Eureka Elementary,441.74,969,6341,7311,1067,5311,6378,13689,0,6046903,2036,11652
2023 - 2024,SCH,Charlotte County Public Schools,Phenix Elementary,227.82,1699,7097,8795,1067,5311,6378,15173,0,3456706,2766,12408
2023 - 2024,SCH,Charlotte County Public Schools,Randolph-Henry High,471.97,304,8935,9238,1067,5311,6378,15616,260673,7370387,1371,14246
2023 - 2024,SCH,Charlottesville City Public Schools,Buford Middle,545.05,1240,12084,13324,558,6070,6629,19953,27569,10875271,1798,18154
2023 - 2024,SCH,Charlottesville City Public Schools,Burnley-Moran Elementary,283.25,1590,13506,15096,558,6070,6629,21725,3714,6153495,2148,19576
2023 - 2024,SCH,Charlottesville City Public Schools,Charlottesville High,1342.13,601,10925,11526,558,6070,6629,18154,75673,24365240,1159,16995
2023 - 2024,SCH,Charlottesville City Public Schools,Greenbrier Elementary,271.56,5521,10129,15649,558,6070,6629,22278,11495,6049770,6079,16199
2023 - 2024,SCH,Charlottesville City Public Schools,Jackson-Via Elementary,351.5,7982,7432,15413,558,6070,6629,22042,13664,7747777,8540,13502
2023 - 2024,SCH,Charlottesville City Public Schools,Johnson Elementary,329.29,9160,4826,13986,558,6070,6629,20615,9963,6788261,9718,10896
2023 - 2024,SCH,Charlottesville City Public Schools,Summit Elementary,296.03,9342,5234,14576,558,6070,6629,21205,5038,6277216,9900,11304
2023 - 2024,SCH,Charlottesville City Public Schools,Trailblazer Elementary,319.37,1554,12472,14026,558,6070,6629,20654,4461,6596284,2112,18542
2023 - 2024,SCH,Charlottesville City Public Schools,Walker Upper Elementary,590.82,983,13154,14137,558,6070,6629,20766,36305,12268975,1541,19224
2023 - 2024,SCH,Chesapeake City Public Schools,B.M. Williams Primary,853.63,1273,9998,11272,187,3891,4078,15349,368480,13102674,1460,13889
2023 - 2024,SCH,Chesapeake City Public Schools,Butts Road Intermediate,571.6,683,9702,10385,187,3891,4078,14463,368480,8266961,870,13593
2023 - 2024,SCH,Chesapeake City Public Schools,Butts Road Primary,550.4,1412,9273,10685,187,3891,4078,14763,368480,8125325,1599,13164
2023 - 2024,SCH,Chesapeake City Public Schools,Camelot Elementary,514.19,1427,10500,11927,187,3891,4078,16005,368480,8229616,1614,14391
2023 - 2024,SCH,Chesapeake City Public Schools,Cedar Road Elementary,957.12,700,8341,9042,187,3891,4078,13119,368480,12556797,887,12232
2023 - 2024,SCH,Chesapeake City Public Schools,Crestwood Intermediate,701.65,1719,8852,10571,187,3891,4078,14649,368480,10278161,1906,12743
2023 - 2024,SCH,Chesapeake City Public Schools,Crestwood Middle,564.03,809,10916,11726,187,3891,4078,15803,22850,8913570,996,14807
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek Central Elementary,878.55,612,9191,9803,187,3891,4078,13881,368480,12195198,799,13082
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek Elementary,783.46,502,8656,9158,187,3891,4078,13236,368480,10369792,689,12547
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek High,1622.35,383,10995,11378,187,3891,4078,15455,422446,25073777,570,14886
2023 - 2024,SCH,Chesapeake City Public Schools,Deep Creek Middle,811.84,374,10062,10436,187,3891,4078,14514,0,11782986,561,13953
2023 - 2024,SCH,Chesapeake City Public Schools,Edwin W. Chittum Elementary,759.31,1307,9701,11008,187,3891,4078,15086,368480,11454747,1494,13592
2023 - 2024,SCH,Chesapeake City Public Schools,G.A. Treakle Elementary,417.11,1555,13307,14861,187,3891,4078,18939,368480,7899564,1742,17198
2023 - 2024,SCH,Chesapeake City Public Schools,George W. Carver Intermediate,525.06,1726,10458,12185,187,3891,4078,16262,368480,8538619,1913,14349
2023 - 2024,SCH,Chesapeake City Public Schools,Georgetown Primary,769.6,1562,8942,10504,187,3891,4078,14581,4623720,11221681,1749,12833
2023 - 2024,SCH,Chesapeake City Public Schools,Grassfield Elementary,1346.81,466,9442,9908,187,3891,4078,13986,368480,18836283,653,13333
2023 - 2024,SCH,Chesapeake City Public Schools,Grassfield High,2276.63,259,9375,9634,187,3891,4078,13711,422446,31215651,446,13266
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge High,1507.11,480,12418,12899,187,3891,4078,16976,435996,25585089,667,16309
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge Intermediate,721.76,322,8447,8769,187,3891,4078,12846,368480,9272011,509,12338
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge Middle,1297.86,402,8671,9073,187,3891,4078,13151,0,17067907,589,12562
2023 - 2024,SCH,Chesapeake City Public Schools,Great Bridge Primary,667.93,525,8633,9157,187,3891,4078,13235,368480,8839997,712,12524
2023 - 2024,SCH,Chesapeake City Public Schools,Greenbrier Intermediate,621.87,1393,8899,10292,187,3891,4078,14370,403657,8936235,1580,12790
2023 - 2024,SCH,Chesapeake City Public Schools,Greenbrier Middle,782.35,1225,16050,17275,187,3891,4078,21352,25711,16704963,1412,19941
2023 - 2024,SCH,Chesapeake City Public Schools,Greenbrier Primary,695.83,659,10166,10826,187,3891,4078,14903,368480,10370116,846,14057
2023 - 2024,SCH,Chesapeake City Public Schools,Hickory Elementary,653.8,903,8603,9506,187,3891,4078,13583,368480,8880712,1090,12494
2023 - 2024,SCH,Chesapeake City Public Schools,Hickory High,1574.51,340,10749,11089,187,3891,4078,15167,422446,23880218,527,14640
2023 - 2024,SCH,Chesapeake City Public Schools,Hickory Middle,1306.19,250,9301,9552,187,3891,4078,13629,10000,17802545,437,13192
2023 - 2024,SCH,Chesapeake City Public Schools,Hugo A. Owens Middle,1316.61,443,8467,8909,187,3891,4078,12987,0,17098503,630,12358
2023 - 2024,SCH,Chesapeake City Public Schools,Indian River High,1660.17,304,11124,11428,187,3891,4078,15506,422446,25742044,491,15015
2023 - 2024,SCH,Chesapeake City Public Schools,Indian River Middle,746.87,445,10615,11059,187,3891,4078,15137,26428,11305426,632,14506
2023 - 2024,SCH,Chesapeake City Public Schools,Jolliff Middle,701.75,781,11329,12110,187,3891,4078,16187,55172,11359383,968,15220
2023 - 2024,SCH,Chesapeake City Public Schools,Norfolk Highlands Primary,281.1,2045,14109,16155,187,3891,4078,20232,368480,5687262,2232,18000
2023 - 2024,SCH,Chesapeake City Public Schools,Oscar F. Smith High,2286.21,371,10333,10705,187,3891,4078,14782,477609,33795258,558,14224
2023 - 2024,SCH,Chesapeake City Public Schools,Oscar Smith Middle,971.51,1477,10297,11774,187,3891,4078,15851,13485,15399859,1664,14188
2023 - 2024,SCH,Chesapeake City Public Schools,Portlock Primary,550.06,1508,11198,12706,187,3891,4078,16784,368480,9232196,1695,15089
2023 - 2024,SCH,Chesapeake City Public Schools,Rena B. Wright Primary,281.45,2538,13956,16494,187,3891,4078,20571,368480,5789843,2725,17847
2023 - 2024,SCH,Chesapeake City Public Schools,Southeastern Elementary,796.26,1191,10357,11548,187,3891,4078,15625,368480,12441758,1378,14248
2023 - 2024,SCH,Chesapeake City Public Schools,Southwestern Elementary,557.27,1447,9570,11018,187,3891,4078,15095,371893,8412081,1634,13461
2023 - 2024,SCH,Chesapeake City Public Schools,Sparrow Road Intermediate,431.57,1722,10077,11799,187,3891,4078,15876,469608,6851798,1909,13968
2023 - 2024,SCH,Chesapeake City Public Schools,Thurgood Marshall Elementary,408.93,2844,11730,14573,187,3891,4078,18651,368480,7626840,3031,15621
2023 - 2024,SCH,Chesapeake City Public Schools,Truitt Intermediate,252.84,2065,13253,15318,187,3891,4078,19396,368480,4903994,2252,17144
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch High,2067.31,355,9753,10108,187,3891,4078,14186,422446,29326053,542,13644
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch Intermediate,782.7,684,8862,9546,187,3891,4078,13624,370703,10663165,871,12753
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch Middle,904.37,419,9925,10343,187,3891,4078,14421,0,13041813,606,13816
2023 - 2024,SCH,Chesapeake City Public Schools,Western Branch Primary,811.31,499,8602,9100,187,3891,4078,13178,374780,10691372,686,12493
2023 - 2024,SCH,Chesterfield County Public Schools,A.M. Davis Elementary,730.34,936,8108,9044,457,4760,5216,14261,280792,10415075,1393,12868
2023 - 2024,SCH,Chesterfield County Public Schools,Alberta Smith Elementary,668.94,246,7550,7796,457,4760,5216,13013,244634,8704732,703,12310
2023 - 2024,SCH,Chesterfield County Public Schools,Bailey Bridge Middle,1432.43,210,7964,8173,457,4760,5216,13390,328443,19179854,667,12724
2023 - 2024,SCH,Chesterfield County Public Schools,Bellwood Elementary,487.46,867,9636,10504,457,4760,5216,15720,234040,7662805,1324,14396
2023 - 2024,SCH,Chesterfield County Public Schools,Bensley Elementary,582.66,885,8665,9550,457,4760,5216,14766,288043,8603762,1342,13425
2023 - 2024,SCH,Chesterfield County Public Schools,Bettie Weaver Elementary,612.76,0,7214,7214,457,4760,5216,12431,213964,7617047,457,11974
2023 - 2024,SCH,Chesterfield County Public Schools,Beulah Elementary,992.31,490,6912,7402,457,4760,5216,12619,345508,12521714,947,11672
2023 - 2024,SCH,Chesterfield County Public Schools,Bon Air Elementary,518.52,0,9006,9006,457,4760,5216,14222,153819,7374561,457,13766
2023 - 2024,SCH,Chesterfield County Public Schools,C.C. Wells Elementary,584.05,0,8064,8064,457,4760,5216,13280,248206,7756314,457,12824
2023 - 2024,SCH,Chesterfield County Public Schools,C.E. Curtis Elementary,771.59,729,7316,8046,457,4760,5216,13262,272977,10232734,1186,12076
2023 - 2024,SCH,Chesterfield County Public Schools,Carver College and Career Academy,252.36,392,20104,20496,457,4760,5216,25713,92779,6488856,849,24864
2023 - 2024,SCH,Chesterfield County Public Schools,Carver Middle,1000.33,485,8009,8494,457,4760,5216,13710,373331,13714987,942,12769
2023 - 2024,SCH,Chesterfield County Public Schools,Chesterfield Virtual School,556.55,533,11770,12303,457,4760,5216,17519,0,9750401,990,16530
2023 - 2024,SCH,Chesterfield County Public Schools,Clover Hill Elementary,882.8,0,7690,7690,457,4760,5216,12906,171567,11393416,457,12450
2023 - 2024,SCH,Chesterfield County Public Schools,Clover Hill High,1742.43,61,7763,7824,457,4760,5216,13040,264224,22721944,518,12523
2023 - 2024,SCH,Chesterfield County Public Schools,Cosby High,2426.45,0,7124,7124,457,4760,5216,12340,307174,29943318,457,11884
2023 - 2024,SCH,Chesterfield County Public Schools,Crestwood Elementary,610.41,641,7923,8564,457,4760,5216,13780,223370,8411381,1098,12683
2023 - 2024,SCH,Chesterfield County Public Schools,Ecoff Elementary,753.46,385,7443,7827,457,4760,5216,13043,273613,9827697,842,12203
2023 - 2024,SCH,Chesterfield County Public Schools,Elizabeth Davis Middle,1311.51,68,8349,8417,457,4760,5216,13633,431445,17880298,525,13109
2023 - 2024,SCH,Chesterfield County Public Schools,Elizabeth Scott Elementary,756,461,7570,8031,457,4760,5216,13248,255374,10015181,918,12330
2023 - 2024,SCH,Chesterfield County Public Schools,Enon Elementary,786.98,629,6736,7365,457,4760,5216,12581,275982,9901291,1086,11496
2023 - 2024,SCH,Chesterfield County Public Schools,Ettrick Elementary,520.56,1492,9173,10664,457,4760,5216,15881,293798,8266804,1949,13933
2023 - 2024,SCH,Chesterfield County Public Schools,Evergreen Elementary,814.42,211,8442,8653,457,4760,5216,13869,160469,11295319,668,13202
2023 - 2024,SCH,Chesterfield County Public Schools,Falling Creek Elementary,802,1116,8246,9362,457,4760,5216,14578,381750,11691847,1573,13006
2023 - 2024,SCH,Chesterfield County Public Schools,Falling Creek Middle,1362.91,769,7087,7856,457,4760,5216,13072,442474,17815969,1226,11847
2023 - 2024,SCH,Chesterfield County Public Schools,Grange Hall Elementary,746.36,141,7018,7160,457,4760,5216,12376,159851,9236911,598,11778
2023 - 2024,SCH,Chesterfield County Public Schools,Greenfield Elementary,482.98,330,9070,9400,457,4760,5216,14616,143684,7059459,787,13830
2023 - 2024,SCH,Chesterfield County Public Schools,Harrowgate Elementary,472.26,986,8986,9972,457,4760,5216,15188,249991,7172592,1443,13746
2023 - 2024,SCH,Chesterfield County Public Schools,Hopkins Road Elementary,758.8,727,7693,8421,457,4760,5216,13637,337034,10347673,1184,12453
2023 - 2024,SCH,Chesterfield County Public Schools,J.A. Chalkley Elementary,877.89,1202,7190,8391,457,4760,5216,13607,398856,11945845,1659,11950
2023 - 2024,SCH,Chesterfield County Public Schools,J.B. Watkins Elementary,830.13,0,7659,7659,457,4760,5216,12875,126549,10688013,457,12419
2023 - 2024,SCH,Chesterfield County Public Schools,J.G. Hening Elementary,869.82,501,7029,7530,457,4760,5216,12746,334206,11087148,958,11789
2023 - 2024,SCH,Chesterfield County Public Schools,Jacobs Road Elementary,736.18,508,7682,8190,457,4760,5216,13406,265508,9869251,965,12442
2023 - 2024,SCH,Chesterfield County Public Schools,James River High,1764.65,51,7477,7528,457,4760,5216,12744,325655,22489255,508,12237
2023 - 2024,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,2058.71,50,7425,7475,457,4760,5216,12691,517330,26127823,507,12185
2023 - 2024,SCH,Chesterfield County Public Schools,Manchester High,2145.86,438,8296,8735,457,4760,5216,13951,449316,29937071,895,13056
2023 - 2024,SCH,Chesterfield County Public Schools,Manchester Middle,1095.41,148,8042,8190,457,4760,5216,13406,331414,14685319,605,12802
2023 - 2024,SCH,Chesterfield County Public Schools,Marguerite F. Christian Elementary,574.78,505,8428,8932,457,4760,5216,14149,270018,8132357,962,13188
2023 - 2024,SCH,Chesterfield County Public Schools,Matoaca Elementary,631.26,500,7966,8467,457,4760,5216,13683,256271,8637435,957,12726
2023 - 2024,SCH,Chesterfield County Public Schools,Matoaca High,1564.76,188,8064,8251,457,4760,5216,13467,515375,21073175,645,12824
2023 - 2024,SCH,Chesterfield County Public Schools,Matoaca Middle,794.46,223,8338,8561,457,4760,5216,13778,192452,10945742,680,13098
2023 - 2024,SCH,Chesterfield County Public Schools,Meadowbrook High,1862.59,266,7914,8180,457,4760,5216,13397,531761,24952399,723,12674
2023 - 2024,SCH,Chesterfield County Public Schools,Midlothian High,1949.75,235,7100,7335,457,4760,5216,12551,192047,24471674,692,11860
2023 - 2024,SCH,Chesterfield County Public Schools,Midlothian Middle,1282.03,68,8008,8076,457,4760,5216,13293,158928,17041474,525,12768
2023 - 2024,SCH,Chesterfield County Public Schools,Monacan High,1563.48,0,8114,8114,457,4760,5216,13330,195777,20841618,457,12874
2023 - 2024,SCH,Chesterfield County Public Schools,Moseley Elementary,925.75,0,7686,7686,457,4760,5216,12902,206710,11944449,457,12446
2023 - 2024,SCH,Chesterfield County Public Schools,O.B. Gates Elementary,616.11,452,11001,11453,457,4760,5216,16670,168942,10270262,909,15761
2023 - 2024,SCH,Chesterfield County Public Schools,Old Hundred Elementary,976.03,0,7602,7602,457,4760,5216,12818,186163,12511062,457,12362
2023 - 2024,SCH,Chesterfield County Public Schools,Providence Elementary,650.6,902,8306,9208,457,4760,5216,14424,233653,9384225,1359,13066
2023 - 2024,SCH,Chesterfield County Public Schools,Providence Middle,1005.06,259,8343,8602,457,4760,5216,13818,399878,13888172,716,13103
2023 - 2024,SCH,Chesterfield County Public Schools,Reams Road Elementary,609.5,562,8882,9444,457,4760,5216,14660,232816,8935415,1019,13642
2023 - 2024,SCH,Chesterfield County Public Schools,Robious Elementary,673.9,0,7569,7569,457,4760,5216,12786,214478,8616183,457,12329
2023 - 2024,SCH,Chesterfield County Public Schools,Robious Middle,1104.97,252,7611,7864,457,4760,5216,13080,257867,14453052,709,12371
2023 - 2024,SCH,Chesterfield County Public Schools,Salem Church Elementary,507.48,615,8141,8756,457,4760,5216,13973,207765,7090842,1072,12901
2023 - 2024,SCH,Chesterfield County Public Schools,Salem Church Middle,864.85,122,8244,8366,457,4760,5216,13583,350671,11747016,579,13004
